latitude,longitude,town,postcode,epci,county,total_weight,epci_weight,postcode_weight,town_weight,county_weight,num_county,num_epci,num_town
45.72502,0.27240000000000003,Brie,16590.0,CA du Grand Angoulême,Charente,29.307279800090296,1.8170731707317074,0.04455445544554455,0.028985507246376812,27.416666666666668,1.0,14.0,45.0
45.71756,0.2742,Brie,16590.0,CA du Grand Angoulême,Charente,29.307279800090296,1.8170731707317074,0.04455445544554455,0.028985507246376812,27.416666666666668,1.0,14.0,45.0
45.72494,0.27178,Brie,16590.0,CA du Grand Angoulême,Charente,29.307279800090296,1.8170731707317074,0.04455445544554455,0.028985507246376812,27.416666666666668,1.0,14.0,45.0
45.69021,0.0236,Douzat,16290.0,CC du Rouillacais,Charente,27.59126357492589,0.13414634146341464,0.034653465346534656,0.005797101449275362,27.416666666666668,1.0,74.0,103.0
45.9133,0.20378000000000002,Lichères,16460.0,CC Coeur de Charente,Charente,27.709954012368364,0.2804878048780488,0.009900990099009901,0.002898550724637681,27.416666666666668,1.0,27.0,177.0
45.89185,-0.0095,Aigre,16140.0,CC Coeur de Charente,Charente,27.753303129888813,0.2804878048780488,0.04455445544554455,0.011594202898550725,27.416666666666668,1.0,27.0,4.0
45.61188,0.24922000000000002,Dirac,16410.0,CA du Grand Angoulême,Charente,29.353039593460934,1.8170731707317074,0.09900990099009901,0.020289855072463767,27.416666666666668,1.0,14.0,99.0
45.89474,-0.006880000000000001,Aigre,16140.0,CC Coeur de Charente,Charente,27.753303129888813,0.2804878048780488,0.04455445544554455,0.011594202898550725,27.416666666666668,1.0,27.0,4.0
45.89508,-0.006500000000000001,Aigre,16140.0,CC Coeur de Charente,Charente,27.753303129888813,0.2804878048780488,0.04455445544554455,0.011594202898550725,27.416666666666668,1.0,27.0,4.0
45.52155,0.09316,Plassac-Rouffiac,16250.0,CA du Grand Angoulême,Charente,29.251489873271527,1.8170731707317074,0.01485148514851485,0.002898550724637681,27.416666666666668,1.0,14.0,230.0
45.67426,0.19585000000000002,L'Isle-d'Espagnac,16600.0,CA du Grand Angoulême,Charente,29.353398324986262,1.8170731707317074,0.11386138613861387,0.005797101449275362,27.416666666666668,1.0,14.0,134.0
45.67634,0.22198,Ruelle-sur-Touvre,16600.0,CA du Grand Angoulême,Charente,29.373688180058725,1.8170731707317074,0.11386138613861387,0.02608695652173913,27.416666666666668,1.0,14.0,244.0
45.03305,-0.41325,Aubie-et-Espessas,33240.0,CC du Grand Cubzaguais,Gironde,21.814579199171245,0.0975609756097561,0.04455445544554455,0.005797101449275362,21.666666666666668,7.0,68.0,21.0
46.13126,-1.12977,Aytré,17440.0,CA de La Rochelle,Charente-Maritime,5.63183278561154,0.2073170731707317,0.0049504950495049506,0.002898550724637681,5.416666666666667,2.0,10.0,24.0
45.5371,0.23867000000000002,Fouquebrune,16410.0,CC Lavalette Tude Dronne,Charente,27.74098586422799,0.21951219512195122,0.09900990099009901,0.005797101449275362,27.416666666666668,1.0,32.0,109.0
45.65533,0.18829,Angoulême,16340.0,CA du Grand Angoulême,Charente,29.295814740540862,1.8170731707317074,0.009900990099009901,0.05217391304347826,27.416666666666668,1.0,14.0,11.0
45.6449,0.1057,Saint-Michel,16470.0,CA du Grand Angoulême,Charente,29.252336479671296,1.8170731707317074,0.009900990099009901,0.008695652173913044,27.416666666666668,1.0,14.0,273.0
45.77733,0.29354,Agris,16110.0,CC La Rochefoucauld - Porte du Périgord,Charente,27.708626530733667,0.23170731707317074,0.054455445544554455,0.005797101449275362,27.416666666666668,1.0,30.0,3.0
45.79574,0.21373000000000003,Tourriers,16560.0,CC Coeur de Charente,Charente,27.725652103916648,0.2804878048780488,0.019801980198019802,0.008695652173913044,27.416666666666668,1.0,27.0,323.0
45.65562,-0.2605,Gensac-la-Pallue,16130.0,CA du Grand Cognac,Charente,28.311742420265357,0.8170731707317073,0.06930693069306931,0.008695652173913044,27.416666666666668,1.0,15.0,114.0
45.67682,0.24096,Ruelle-sur-Touvre,16600.0,CA du Grand Angoulême,Charente,29.373688180058725,1.8170731707317074,0.11386138613861387,0.02608695652173913,27.416666666666668,1.0,14.0,244.0
44.52704,-0.31454000000000004,Fargues,33210.0,CC du Sud Gironde,Gironde,21.746843337568112,0.04878048780487805,0.019801980198019802,0.011594202898550725,21.666666666666668,7.0,77.0,105.0
44.52677,-0.3148,Fargues,33210.0,CC du Sud Gironde,Gironde,21.746843337568112,0.04878048780487805,0.019801980198019802,0.011594202898550725,21.666666666666668,7.0,77.0,105.0
44.52459,-0.31594,Fargues,33210.0,CC du Sud Gironde,Gironde,21.746843337568112,0.04878048780487805,0.019801980198019802,0.011594202898550725,21.666666666666668,7.0,77.0,105.0
